@relation asd

@attribute Euklideszi numeric
@attribute Xtav numeric
@attribute Ytav numeric
@attribute Pontonkentitav numeric
@attribute Sebesseg numeric
@attribute Xsebesseg numeric
@attribute Ysebesseg numeric
@attribute Atlagsebesseg numeric
@attribute Xatlagszabesseg numeric
@attribute Yatlagsebesseg numeric
@attribute Gyorsulas numeric
@attribute Xgyorsulas numeric
@attribute Ygyorsulas numeric
@attribute Pontonkentigyorsulas numeric
@attribute Xpontonkentigyosulas numeric
@attribute Ypontonkentigyorsulas numeric
@attribute jerkue numeric
@attribute jerkpontonkenti numeric
@attribute ossszszog numeric
@attribute atlagszogseb numeric
@attribute mozgaspontok numeric
@attribute milyen numeric
@attribute melyikgomb numeric
@attribute userid {0,1}

@data
227.431308,227,14,795.638795,0.164092,0.163781,0.010101,0.000464,0.981217,0.312517,0.000118,0.000118,0.000007,0.147131,0.138112,0.042217,0,0.02315,0.112864,0.000464,94,0,1,0
96.881371,19,95,97.494693,0.168783,0.033101,0.165505,0.000327,0.091651,0.458566,0.000294,0.000058,0.000288,0.060735,0.011534,0.059226,0.000001,0.007919,8.658394,0.000327,26,1,1,0
44.643029,43,12,48.429553,0.186013,0.179167,0.05,0.004709,0.464015,0.10787,0.000775,0.000747,0.000208,0.262863,0.244397,0.051729,0.000003,0.151503,12.320317,0.004709,44,0,2,0
14.317821,6,13,836.920808,0.021596,0.00905,0.019608,0.001376,0.935797,1.388584,0.000033,0.000014,0.00003,0.234459,0.123634,0.188262,0,0.032875,25.591353,0.001376,62,1,2,0
857.35057,763,391,1102.560183,0.200597,0.178521,0.091483,-0.000098,0.677743,0.377268,0.000047,0.000042,0.000021,0.112885,0.087381,0.04913,0,0.014818,106.299668,-0.000098,160,1,1,0
197.395542,74,183,243.344876,0.422689,0.158458,0.391863,0.003929,0.494835,0.821779,0.000905,0.000339,0.000839,0.610346,0.275247,0.486009,0.000002,0.401205,60.240915,0.003929,119,0,2,0
205.827598,181,98,229.086459,0.099194,0.087229,0.047229,0.000553,0.337393,0.188689,0.000048,0.000042,0.000023,0.052635,0.04403,0.024835,0,0.007022,12.423758,0.000553,72,1,1,0
796.06658,649,461,1301.643748,0.335045,0.273148,0.194024,0.000588,0.49792,0.514074,0.000141,0.000115,0.000082,0.095789,0.063143,0.065181,0,0.012238,91.000653,0.000588,216,1,1,0
2.236068,2,1,7,0.001424,0.001274,0.000637,-0.000137,0.010621,0.000112,0.000001,0.000001,0,0.000328,0.000328,0,0,0.000011,8.580779,-0.000137,14,0,1,0
69.46222,64,27,85.738241,0.399208,0.367816,0.155172,-0.003809,0.486715,0.175121,0.002294,0.002114,0.000892,0.31492,0.25775,0.087862,0.000013,0.182919,66.272609,-0.003809,69,0,2,0
76.850504,65,41,1023.002539,0.142845,0.120818,0.076208,0.003743,2.1863,1.526614,0.000266,0.000225,0.000142,1.558428,1.215787,0.856057,0,0.943428,47.747647,0.003743,191,0,2,0
