@relation vegleges

@attribute Euklideszi numeric
@attribute Xtav numeric
@attribute Ytav numeric
@attribute Pontonkentitav numeric
@attribute Sebesseg numeric
@attribute Xsebesseg numeric
@attribute Ysebesseg numeric
@attribute Atlagsebesseg numeric
@attribute Xatlagszabesseg numeric
@attribute Yatlagsebesseg numeric
@attribute Gyorsulas numeric
@attribute Xgyorsulas numeric
@attribute Ygyorsulas numeric
@attribute Pontonkentigyorsulas numeric
@attribute Xpontonkentigyosulas numeric
@attribute Ypontonkentigyorsulas numeric
@attribute jerkue numeric
@attribute jerkpontonkenti numeric
@attribute ossszszog numeric
@attribute atlagszogseb numeric
@attribute mozgaspontok numeric
@attribute milyen numeric
@attribute melyikgomb numeric
@attribute userid {0,1}

@data
465.365448,409,222,696.546439,0.127497,0.112055,0.060822,-0.000058,1.746848,0.646815,0.000035,0.000031,0.000017,0.296279,0.261489,0.1,0,0.049544,49.546158,-0.000058,47,1,1,0
99.824847,98,19,2591.927542,0.124781,0.1225,0.02375,-0.001006,2.726718,1.244091,0.000156,0.000153,0.00003,0.428699,0.343761,0.158261,0,0.054425,46.649885,-0.001006,96,0,2,0
143.951381,81,119,230.327139,0.012384,0.006968,0.010237,-0.000102,0.13855,0.163907,0.000001,0.000001,0.000001,0.029323,0.017355,0.02057,0,0.003705,82.708674,-0.000102,121,1,1,0
19.235384,19,3,269.43557,0.007427,0.007336,0.001158,0.000517,0.081472,0.211071,0.000003,0.000003,0,0.023493,0.008151,0.02131,0,0.002409,99.488235,0.000517,112,1,1,0
92.698436,32,87,277.713308,0.014385,0.004966,0.013501,-0.000207,0.23108,0.101068,0.000002,0.000001,0.000002,0.039719,0.034122,0.014683,0,0.007025,70.285833,-0.000207,124,0,1,0
1105.479534,1103,74,1106.685838,0.413109,0.412182,0.027653,-0.000063,2.599671,0.180784,0.000154,0.000154,0.00001,0.269236,0.268315,0.018598,0,0.02789,19.268262,-0.000063,42,1,1,0
323,323,0,364.766392,0.684322,0.684322,0,-0.000072,1.420662,0.327821,0.00145,0.00145,0,1.553894,1.400456,0.315051,0.000003,1.541605,0,-0.000072,219,1,1,0
104.388697,104,9,108.100198,0.543691,0.541667,0.046875,-0.003279,0.848326,0.110156,0.002832,0.002821,0.000244,0.117756,0.113908,0.013682,0.000015,0.015878,10.463893,-0.003279,16,0,2,0
665.47577,223,627,2320.354458,0.246655,0.082654,0.232394,-0.000419,1.382399,0.565201,0.000091,0.000031,0.000086,0.315483,0.261747,0.106949,0,0.060159,11.471274,-0.000419,261,1,1,0
1,1,0,333.588773,0.000517,0.000517,0,-0.001716,0.265505,0.18245,0,0,0,0.045437,0.032819,0.022722,0,0.005749,51.706416,-0.001716,102,0,2,0
929.563876,920,133,3357.180044,0.090645,0.089712,0.012969,0.000753,1.134888,0.786522,0.000009,0.000009,0.000001,0.246367,0.170384,0.122693,0,0.04493,49.949104,0.000753,269,1,1,0
588.411421,572,138,781.973522,0.058508,0.056876,0.013722,0.000117,1.419422,0.410341,0.000006,0.000006,0.000001,0.188044,0.177064,0.05128,0,0.023636,25.918489,0.000117,64,1,1,0
786.51192,240,749,1116.722085,0.565023,0.172414,0.538075,-0.004683,0.368459,0.905841,0.000406,0.000124,0.000387,0.138963,0.048373,0.11694,0,0.021379,145.001467,-0.004683,120,0,1,0
971.334134,337,911,1270.097294,0.460785,0.159867,0.432163,0.000254,1.005848,1.662063,0.000219,0.000076,0.000205,0.34393,0.170492,0.285286,0,0.073586,6.123406,0.000254,86,1,1,0
1.414214,1,1,49.429553,0.003761,0.00266,0.00266,-0.001782,0.100694,0.104809,0.00001,0.000007,0.000007,0.020515,0.012369,0.012947,0,0.002559,16.949667,-0.001782,34,0,2,0
128.132744,127,17,135.826058,0.179709,0.178121,0.023843,0.003831,0.337973,0.053113,0.000252,0.00025,0.000033,0.049011,0.04629,0.006502,0,0.007812,0,0.003831,43,1,1,0
50.695167,13,49,438.87187,0.01569,0.004024,0.015166,-0.000994,0.421668,0.207415,0.000005,0.000001,0.000005,0.092442,0.079261,0.037784,0,0.017514,78.653217,-0.000994,156,0,2,0
259.464834,239,101,299.200171,0.469195,0.432188,0.18264,0.003662,0.72658,0.329715,0.000848,0.000782,0.00033,0.114144,0.091567,0.041594,0.000002,0.014497,16.534097,0.003662,41,1,2,0
265.152786,265,9,1283.472683,0.278522,0.278361,0.009454,-0.001518,1.452714,1.873512,0.000293,0.000292,0.00001,0.312906,0.181927,0.234313,0,0.039214,20.613294,-0.001518,64,1,2,0
511.165335,511,13,516.820062,1.183253,1.18287,0.030093,0.006223,2.791485,0.108819,0.002739,0.002738,0.00007,0.395118,0.393011,0.013733,0.000006,0.061054,0.452287,0.006223,24,1,1,0
1035.04396,946,420,1344.245252,0.01412,0.012906,0.00573,-0.000482,0.998832,0.719205,0,0,0,0.111488,0.081999,0.059015,0,0.00918,21.381247,-0.000482,80,1,1,0
286.525741,209,196,301.02402,0.343968,0.2509,0.235294,-0.001432,1.447197,1.362676,0.000413,0.000301,0.000282,2.075498,1.43838,1.353873,0,2.069273,0,-0.001432,142,1,1,0
849.300889,444,724,1562.748515,0.326152,0.170507,0.278034,0.00061,0.746804,0.636691,0.000125,0.000066,0.000107,0.162898,0.116675,0.100259,0,0.030304,199.525402,0.00061,195,1,1,0
